anzahl;vorname;geschlecht;position
29;Marie;w;2
25;Mila;w;1
24;Sophie;w;2
21;Paul;m;1
20;Emma;w;1
18;Felix;m;1
18;Ella;w;1
17;Emilia;w;1
16;Elias;m;1
16;Noah;m;1
15;Luca;m;1
14;Ben;m;1
14;Leon;m;1
14;Milan;m;1
13;Lina;w;1
13;Marie;w;1
13;Sophia;w;1
13;Jonas;m;1
12;Elias;m;2
12;Emily;w;1
12;David;m;1
12;Henry;m;1
12;Leo;m;1
12;Lukas;m;1
12;Max;m;1
11;Mia;w;1
11;Nele;w;1
11;Henri;m;1
11;Maximilian;m;1
10;Maria;w;2
10;Alina;w;1
10;Amelie;w;1
10;Hannah;w;1
10;Johanna;w;1
10;Laura;w;1
10;Sophie;w;1
10;Emil;m;1
10;Julian;m;1
10;Linus;m;1
9;Hanna;w;1
9;Lara;w;1
9;Lea;w;1
9;Ali;m;1
9;Lena;w;1
9;Elyas;m;1
9;Leni;w;1
9;Finn;m;1
9;Liam;m;1
9;Louis;m;1
9;Mats;m;1
9;Nico;m;1
9;Phil;m;1
8;Anna;w;1
8;Klara;w;1
8;Leonie;w;1
8;Lia;w;1
8;Lotta;w;1
8;Luisa;w;1
8;Samuel;m;1
8;Tom;m;1
7;Mina;w;1
7;Mira;w;1
7;Jonathan;m;1
7;Nora;w;1
7;Julius;m;1
7;Pauline;w;1
7;Leonard;m;1
7;Niklas;m;1
7;Oskar;m;1
7;Theo;m;1
6;Maximilian;m;2
6;Luana;w;1
6;Malia;w;1
6;Mara;w;1
6;Pia;w;1
6;Alexander;m;1
6;Zeynep;w;1
6;Anton;m;1
6;Hannes;m;1
6;Jan;m;1
6;John;m;1
6;Lennard;m;1
6;Lio;m;1
6;Luke;m;1
6;Mika;m;1
6;Nick;m;1
5;Alexander;m;2
5;Ali;m;2
5;Katharina;w;2
5;Karl;m;2
5;Noah;m;2
5;Paul;m;2
5;Charlotte;w;1
5;Elif;w;1
5;Frida;w;1
5;Greta;w;1
5;Jana;w;1
5;Josefine;w;1
5;Lilly;w;1
5;Liya;w;1
5;Meryem;w;1
5;Adrian;m;1
5;Paula;w;1
5;Erik;m;1
5;Sara;w;1
5;Fynn;m;1
5;Sofia;w;1
5;Jakob;m;1
5;Justus;m;1
5;Lars;m;1
5;Levi;m;1
5;Lian;m;1
5;Luis;m;1
5;Maxim;m;1
5;Mohammed;m;1
5;Philipp;m;1
5;Sam;m;1
5;Till;m;1
4;Elif;w;2
4;Elisabeth;w;2
4;Luisa;w;2
4;Johann;m;2
4;Rose;w;2
4;Manuel;m;2
4;Su;w;2
4;Ava;w;1
4;Ayla;w;1
4;Eva;w;1
4;Ida;w;1
4;Isabella;w;1
4;Jule;w;1
4;Karla;w;1
4;Lana;w;1
4;Leyla;w;1
4;Matilda;w;1
4;Maya;w;1
4;Alessio;m;1
4;Melek;w;1
4;Benjamin;m;1
4;Romy;w;1
4;Bilal;m;1
4;Sarah;w;1
4;Dean;m;1
4;Zoe;w;1
4;Filip;m;1
4;Zoey;w;1
4;Jannis;m;1
4;Johannes;m;1
4;Jona;m;1
4;Jonte;m;1
4;Joshua;m;1
4;Mahir;m;1
4;Mateo;m;1
4;Muhammed;m;1
4;Noel;m;1
3;Anton;m;2
3;Antonia;w;2
3;Can;m;2
3;Emilia;w;2
3;Elyas;m;2
3;Isabella;w;2
3;Henry;m;2
3;Joleen;w;2
3;Jan;m;2
3;Jolie;w;2
3;Jonas;m;2
3;Louisa;w;2
3;Joris;m;2
3;Luise;w;2
3;Leon;m;2
3;Marleen;w;2
3;Liam;m;2
3;Naz;w;2
3;Luca;m;2
3;Malik;m;2
3;Markus;m;2
3;Matteo;m;2
3;Simon;m;2
3;Stephan;m;2
3;Ömer;m;2
3;Alisa;w;1
3;Amelia;w;1
3;Amy;w;1
3;Anastasia;w;1
3;Anni;w;1
3;Antonia;w;1
3;Clara;w;1
3;Elena;w;1
3;Elina;w;1
3;Adam;m;1
3;Eliz;w;1
3;Amir;m;1
3;Eslem;w;1
3;Carlo;m;1
3;Finja;w;1
3;Cem;m;1
3;Fiona;w;1
3;Constantin;m;1
3;Hayat;w;1
3;Efecan;m;1
3;Juna;w;1
3;Emre;m;1
3;Kiara;w;1
3;Enes;m;1
3;Liv;w;1
3;Hamza;m;1
3;Maja;w;1
3;Hassan;m;1
3;Malina;w;1
3;Ibrahim;m;1
3;Marleen;w;1
3;Jayden;m;1
3;Melina;w;1
3;Leopold;m;1
3;Nisa;w;1
3;Levin;m;1
3;Sena;w;1
3;Lionel;m;1
3;Valerie;w;1
3;Luan;m;1
3;Lucien;m;1
3;Malik;m;1
3;Malte;m;1
3;Matteo;m;1
3;Melih;m;1
3;Mert;m;1
3;Michel;m;1
3;Milian;m;1
3;Milo;m;1
3;Moritz;m;1
3;Oliver;m;1
3;Omar;m;1
3;Oscar;m;1
3;Raphael;m;1
3;Silas;m;1
3;Taha;m;1
3;Thilo;m;1
3;Til;m;1
3;Tim;m;1
3;Tobias;m;1
3;Youssef;m;1
3;Yusuf;m;1
2;Amponsah;m;3
2;Maria;w;3
2;Friedhelm;m;3
2;Junior;m;3
2;Michael;m;3
2;Alexandra;w;2
2;Amelie;w;2
2;Angelika;w;2
2;Aurelia;w;2
2;Caroline;w;2
2;Eleanor;w;2
2;Florentine;w;2
2;Adem;m;2
2;Franziska;w;2
2;Ado;m;2
2;Gerda;w;2
2;Amandus;m;2
2;Isabel;w;2
2;Andreas;m;2
2;Johanna;w;2
2;André;m;2
2;Jolien;w;2
2;Carlos;m;2
2;Josefin;w;2
2;Daniel;m;2
2;Josefine;w;2
2;David;m;2
2;Klara;w;2
2;Emanuel;m;2
2;Laura;w;2
2;Emilio;m;2
2;Lina;w;2
2;Felix;m;2
2;Lucia;w;2
2;Ferdinand;m;2
2;Mara;w;2
2;Finn;m;2
2;Mathilda;w;2
2;Fritz;m;2
2;Maylin;w;2
2;Gabriel;m;2
2;Milou;w;2
2;Georg;m;2
2;Mina;w;2
2;Henrik;m;2
2;Nadine;w;2
2;Johannes;m;2
2;Nur;w;2
2;John;m;2
2;Paula;w;2
2;Josef;m;2
2;Rosa;w;2
2;Lennart;m;2
2;Sofia;w;2
2;Linus;m;2
2;Sophia;w;2
2;Mario;m;2
2;Theresa;w;2
2;Max;m;2
2;Valerie;w;2
2;Maxim;m;2
2;Michael;m;2
2;Philipp;m;2
2;Valentin;m;2
2;Wolfgang;m;2
2;Zacharias;m;2
2;Adelina;w;1
2;Alara;w;1
2;Alea;w;1
2;Aleyna;w;1
2;Alice;w;1
2;Alya;w;1
2;Amilia;w;1
2;Amira;w;1
2;Anissa;w;1
2;Annabell;w;1
2;Annika;w;1
2;Ariana;w;1
2;Asel;w;1
2;Aylin;w;1
2;Azra;w;1
2;Christina;w;1
2;Ecem;w;1
2;Ela;w;1
2;Eleysa;w;1
2;Elisa;w;1
2;Emilie;w;1
2;Esila;w;1
2;Eylül;w;1
2;Alessandro;m;1
2;Frieda;w;1
2;Alex;m;1
2;Helin;w;1
2;Alparslan;m;1
2;Isa;w;1
2;Amar;m;1
2;Jolie;w;1
2;Antonio;m;1
2;Josephine;w;1
2;Arian;m;1
2;Julia;w;1
2;Aurel;m;1
2;Layla;w;1
2;Ayman;m;1
2;Lilli;w;1
2;Ben-Elias;m;1
2;Linda;w;1
2;Can;m;1
2;Lisa;w;1
2;Cedric;m;1
2;Louisa;w;1
2;Christian;m;1
2;Luna;w;1
2;Clemens;m;1
2;Maria;w;1
2;Colin;m;1
2;Mariam;w;1
2;Damian;m;1
2;Mariella;w;1
2;Daniel;m;1
2;Marlene;w;1
2;Denis;m;1
2;Mathilda;w;1
2;Diego;m;1
